0,1,2,3
0.6240625,0.895,1.0000303,1.0000651
0.7835125,0.778,0.9993684,0.9999027
0.39810625,0.469,0.999416,1.0000757
0.41590625,0.948,1.0000565,1.0000691
0.94975,0.457,2.5963678,2.1306539
0.4155844,0.479,0.9992825,1.0000619
0.7788031,0.993,1.0000637,1.000062
0.2395625,0.723,1.0001684,1.0000404
0.34712186,0.067,3.0302668,1.6807349
0.27600312,0.428,1.0001582,1.0000464
0.7563844,0.833,0.9996469,1.0000498
0.8521375,0.145,3.4957166,3.0327826
0.010440625,0.428,1.0001445,0.99996245
0.76192814,0.558,1.4704359,1.2008165
0.78310627,0.866,0.99973655,1.0000583
0.7272969,0.916,1.0000013,1.0000641
0.33194062,0.864,1.0000854,1.0000623
0.09474687,0.245,1.0001183,0.9999639
0.7635375,0.671,0.9976268,1.0004106
0.30922812,0.423,1.0000153,1.0000776
0.5528125,0.908,1.0000417,1.0000665
0.3321875,0.062,3.033616,1.6187643
0.33334374,0.416,0.999787,1.0000945
0.1943375,0.477,1.000238,0.9999893
0.62570935,0.292,2.3733864,1.7988763
0.5650906,0.054,3.5808759,2.6184058
0.47165,0.67,0.9999443,1.0000706
0.10005,0.987,1.0002161,1.0000359
0.19085938,0.363,1.0002294,0.9999757
0.62282187,0.675,0.99917233,0.9999933
0.74158126,0.764,0.9992677,0.9999486
0.6104031,0.299,2.2708678,1.7084252
0.8722344,0.355,2.811625,2.319005
0.17785938,0.646,1.0002289,1.0000123
0.9010625,0.996,0.99999964,1.0000821
0.8485906,0.264,3.1052122,2.6172543
0.7830125,0.141,3.427865,2.9048862
0.13966562,0.86,1.0002134,1.0000324
0.73228127,0.03,3.8306856,3.0666647
0.21408124,0.047,0.9991131,1.0004284
0.7942156,0.774,0.9994223,0.99988306
0.8735875,0.274,3.1167645,2.6412597
0.7812156,0.942,0.9999974,1.000065
0.46109375,0.032,3.6624408,2.3163657
0.6484906,0.061,3.6167345,2.8284783
0.46017814,0.748,1.0000302,1.0000627
0.21534374,0.882,1.0001547,1.0000514
0.117725,0.059,0.9998833,1.0000085
0.7674406,0.54,1.591759,1.2716702
0.5031094,0.972,1.0000474,1.0000708
0.0718875,0.071,0.9998884,1.0000129
0.8274438,0.259,3.082683,2.5827222
0.6725063,0.651,0.9988245,0.999779
0.26907814,0.388,1.0001534,1.0000528
0.62630624,0.695,0.9993361,1.0000256
0.90775,0.211,3.370257,2.9380102
0.80255,0.133,3.478643,2.9707618
0.41985938,0.209,1.9091915,1.3497151
0.3369875,0.829,1.0000868,1.0000603
0.864825,0.089,3.6744204,3.1957874
0.27018124,0.127,1.0620381,1.009899
